DATE,BUYER,SELLER,Mean
01-Apr-25,"$9,651.50 ","$9,652.00 ","$9,651.75 "
02-Apr-25,"$9,645.50 ","$9,646.00 ","$9,645.75 "
03-Apr-25,"$9,396.00 ","$9,397.00 ","$9,396.50 "
04-Apr-25,"$8,830.00 ","$8,830.50 ","$8,830.25 "
07-Apr-25,"$8,820.00 ","$8,825.00 ","$8,822.50 "
08-Apr-25,"$8,758.00 ","$8,760.00 ","$8,759.00 "
09-Apr-25,"$8,538.00 ","$8,539.00 ","$8,538.50 "
10-Apr-25,"$8,976.00 ","$8,978.00 ","$8,977.00 "
11-Apr-25,"$9,175.00 ","$9,180.00 ","$9,177.50 "
14-Apr-25,"$9,212.00 ","$9,212.50 ","$9,212.25 "
15-Apr-25,"$9,093.00 ","$9,094.00 ","$9,093.50 "
16-Apr-25,"$9,082.00 ","$9,083.00 ","$9,082.50 "
17-Apr-25,"$9,103.00 ","$9,104.00 ","$9,103.50 "
22-Apr-25,"$9,293.00 ","$9,293.50 ","$9,293.25 "
23-Apr-25,"$9,416.00 ","$9,416.50 ","$9,416.25 "
24-Apr-25,"$9,410.00 ","$9,410.50 ","$9,410.25 "
25-Apr-25,"$9,363.50 ","$9,364.00 ","$9,363.75 "
28-Apr-25,"$9,365.00 ","$9,365.50 ","$9,365.25 "
29-Apr-25,"$9,486.50 ","$9,487.50 ","$9,487.00 "
30-Apr-25,"$9,203.00 ","$9,204.00 ","$9,203.50 "
