DATE,BUYER,SELLER,Mean
03-Feb-25,"$8,866.00 ","$8,866.50 ","$8,866.25 "
04-Feb-25,"$8,991.00 ","$8,993.00 ","$8,992.00 "
05-Feb-25,"$9,024.00 ","$9,025.00 ","$9,024.50 "
06-Feb-25,"$9,164.00 ","$9,165.00 ","$9,164.50 "
07-Feb-25,"$9,287.00 ","$9,288.00 ","$9,287.50 "
10-Feb-25,"$9,286.50 ","$9,287.50 ","$9,287.00 "
11-Feb-25,"$9,240.00 ","$9,245.00 ","$9,242.50 "
12-Feb-25,"$9,277.00 ","$9,277.50 ","$9,277.25 "
13-Feb-25,"$9,361.00 ","$9,362.00 ","$9,361.50 "
14-Feb-25,"$9,810.00 ","$9,812.00 ","$9,811.00 "
17-Feb-25,"$9,290.50 ","$9,291.00 ","$9,290.75 "
18-Feb-25,"$9,294.50 ","$9,295.00 ","$9,294.75 "
19-Feb-25,"$9,432.00 ","$9,433.00 ","$9,432.50 "
20-Feb-25,"$9,514.00 ","$9,514.50 ","$9,514.25 "
21-Feb-25,"$9,493.00 ","$9,494.00 ","$9,493.50 "
24-Feb-25,"$9,489.00 ","$9,490.00 ","$9,489.50 "
25-Feb-25,"$9,461.00 ","$9,463.00 ","$9,462.00 "
26-Feb-25,"$9,503.00 ","$9,504.00 ","$9,503.50 "
27-Feb-25,"$9,414.50 ","$9,415.50 ","$9,415.00 "
28-Feb-25,"$9,363.00 ","$9,363.50 ","$9,363.25 "
