Source,Source_Lat,Source_Lon,Destination,Dest_Lat,Dest_Lon,Road Type,Distance (km),Travel Time (hrs)
Tiruchirappalli,10.7905,78.7047,Chennai,13.0827,80.2707,Highway,326.1,4.74
Tiruchirappalli,10.7905,78.7047,Cuddalore,11.7447,79.768,Local Road,93.78,1.76
Dindigul,10.3624,77.9695,Salem,11.6643,78.146,Local Road,304.77,3.9
Coimbatore,11.0168,76.9558,Dharmapuri,12.1357,78.1603,Local Road,171.52,2.29
Madurai,9.9252,78.1198,Kanchipuram,12.8342,79.7036,State Road,278.25,4.13
Pudukkottai,10.3833,78.8167,Dharmapuri,12.1357,78.1603,State Road,436.27,8.37
Coimbatore,11.0168,76.9558,Vellore,12.9165,79.1325,Local Road,274.28,4.17
Salem,11.6643,78.146,Nagercoil,8.1773,77.4344,State Road,276.54,3.57
Krishnagiri,12.5192,78.2138,Thanjavur,10.7867,79.1386,State Road,433.88,7.92
Chennai,13.0827,80.2707,Kanchipuram,12.8342,79.7036,State Road,53.06,0.67
Chennai,13.0827,80.2707,Madurai,9.9252,78.1198,State Road,96.48,1.82
Vellore,12.9165,79.1325,Chennai,13.0827,80.2707,Local Road,215.96,3.47
Dindigul,10.3624,77.9695,Kanchipuram,12.8342,79.7036,State Road,128.37,2.04
Nagercoil,8.1773,77.4344,Kanchipuram,12.8342,79.7036,State Road,113.56,1.87
Dharmapuri,12.1357,78.1603,Erode,11.341,77.7172,State Road,216.38,4.42
Chennai,13.0827,80.2707,Krishnagiri,12.5192,78.2138,Highway,338.73,6.75
Chennai,13.0827,80.2707,Sivakasi,9.4486,77.7984,State Road,393.04,7.46
Cuddalore,11.7447,79.768,Tirunelveli,8.7139,77.7567,Highway,54.35,1.1
Cuddalore,11.7447,79.768,Madurai,9.9252,78.1198,State Road,137.88,2.34
Tirunelveli,8.7139,77.7567,Chennai,13.0827,80.2707,Local Road,126.52,3.14
Dharmapuri,12.1357,78.1603,Thanjavur,10.7867,79.1386,Local Road,205.89,2.64
Erode,11.341,77.7172,Krishnagiri,12.5192,78.2138,Highway,188.35,2.43
Nagercoil,8.1773,77.4344,Cuddalore,11.7447,79.768,State Road,146.94,1.87
Nagercoil,8.1773,77.4344,Chennai,13.0827,80.2707,State Road,395.21,7.78
Dharmapuri,12.1357,78.1603,Cuddalore,11.7447,79.768,State Road,346.12,5.54
Thoothukudi,8.7642,78.1348,Karur,10.9601,78.0766,Local Road,206.52,4.58
Thanjavur,10.7867,79.1386,Dharmapuri,12.1357,78.1603,Local Road,206.41,5.03
Cuddalore,11.7447,79.768,Karur,10.9601,78.0766,Highway,274.05,5.29
Cuddalore,11.7447,79.768,Coimbatore,11.0168,76.9558,Local Road,347.23,7.02
Sivakasi,9.4486,77.7984,Krishnagiri,12.5192,78.2138,Local Road,262.51,3.75
Krishnagiri,12.5192,78.2138,Thoothukudi,8.7642,78.1348,Local Road,414.2,7.98
